occupation_title;occupation_code;soc_major_code;occupation_group;employment_2024;employment_2034;emp_change_pct;median_wage_2024;education_required;education_level;automation_risk_score;ai_risk_category;collar_type;growth_category;PosEmpChange
"Structural metal fabricators and fitters";51-2041;51;"Production occupations";53.8;45;-16.3;49900;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Fiberglass laminators and fabricators";51-2051;51;"Production occupations";18.6;19.4;4.2;45760;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Timing device assemblers and adjusters";51-2061;51;"Production occupations";0.2;0.2;-17.5;40790;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Miscellaneous assemblers and fabricators";51-2090;51;"Production occupations";1467.1;1465.9;-0.1;42210;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Bakers";51-3011;51;"Production occupations";249.1;263.2;5.6;36650;"No formal educational credential";1;4;Medium;"Blue-collar";"Growing";"TRUE"
"Butchers and meat cutters";51-3021;51;"Production occupations";143.1;144.5;1;38960;"No formal educational credential";1;4;Medium;"Blue-collar";Stable;"TRUE"
"Meat, poultry, and fish cutters and trimmers";51-3022;51;"Production occupations";146.8;154.9;5.5;37700;"No formal educational credential";1;4;Medium;"Blue-collar";"Growing";"TRUE"
"Slaughterers and meat packers";51-3023;51;"Production occupations";69.6;71.2;2.2;39790;"No formal educational credential";1;4;Medium;"Blue-collar";Stable;"TRUE"
"Food and tobacco roasting, baking, and drying machine operators and tenders";51-3091;51;"Production occupations";20.7;20.8;0.6;42730;"No formal educational credential";1;4;Medium;"Blue-collar";Stable;"TRUE"
"Food batchmakers";51-3092;51;"Production occupations";173.5;185.4;6.9;40790;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Growing";"TRUE"
"Food cooking machine operators and tenders";51-3093;51;"Production occupations";29.7;29.9;0.6;40550;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Food processing workers, all other";51-3099;51;"Production occupations";58.7;61.8;5.3;38420;"No formal educational credential";1;4;Medium;"Blue-collar";"Growing";"TRUE"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic";51-4021;51;"Production occupations";66;66.8;1.2;46980;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Forging machine setters, operators, and tenders, metal and plastic";51-4022;51;"Production occupations";8.8;7.2;-18.9;49240;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Rolling machine setters, operators, and tenders, metal and plastic";51-4023;51;"Production occupations";22.5;20.6;-8.3;48630;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic";51-4031;51;"Production occupations";174.7;153.6;-12.1;45590;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic";51-4032;51;"Production occupations";5.3;4.3;-19.6;46630;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic";51-4033;51;"Production occupations";70.1;61.7;-12;45190;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic";51-4034;51;"Production occupations";18.9;16.4;-13.6;48620;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Milling and planing machine setters, operators, and tenders, metal and plastic";51-4035;51;"Production occupations";13.8;11.8;-14.4;48310;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Machinists";51-4041;51;"Production occupations";299.5;299.6;0;56150;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Metal-refining furnace operators and tenders";51-4051;51;"Production occupations";20.8;20.3;-2.3;55770;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Pourers and casters, metal";51-4052;51;"Production occupations";5.9;5.7;-4.7;48940;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Model makers, metal and plastic";51-4061;51;"Production occupations";3.2;2.6;-18.2;62700;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Patternmakers, metal and plastic";51-4062;51;"Production occupations";1.6;1.2;-24.4;54540;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Foundry mold and coremakers";51-4071;51;"Production occupations";12.7;9.4;-25.9;45700;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic";51-4072;51;"Production occupations";154.6;148.8;-3.8;41230;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Multiple machine tool setters, operators, and tenders, metal and plastic";51-4081;51;"Production occupations";131;130.3;-0.5;46060;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Tool and die makers";51-4111;51;"Production occupations";55.2;49.3;-10.8;63180;"Postsecondary nondegree award";4;4;Medium;"Blue-collar";"Declining";FALSE
"Welders, cutters, solderers, and brazers";51-4121;51;"Production occupations";457.3;467.2;2.2;51000;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Welding, soldering, and brazing machine setters, operators, and tenders";51-4122;51;"Production occupations";38.9;35.4;-9;47060;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Heat treating equipment setters, operators, and tenders, metal and plastic";51-4191;51;"Production occupations";14.8;12.9;-12.8;47450;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Layout workers, metal and plastic";51-4192;51;"Production occupations";5.7;5.4;-5.4;61870;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Plating machine setters, operators, and tenders, metal and plastic";51-4193;51;"Production occupations";31.7;27.4;-13.6;41600;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Tool grinders, filers, and sharpeners";51-4194;51;"Production occupations";5.8;5.4;-7.8;48970;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Metal workers and plastic workers, all other";51-4199;51;"Production occupations";20.4;18.5;-9.5;42750;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Prepress technicians and workers";51-5111;51;"Production occupations";26.2;22.3;-14.6;47300;"Postsecondary nondegree award";4;4;Medium;"Blue-collar";"Declining";FALSE
"Printing press operators";51-5112;51;"Production occupations";150.2;138;-8.1;45160;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Print binding and finishing workers";51-5113;51;"Production occupations";35.8;30;-16.1;39820;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Laundry and dry-cleaning workers";51-6011;51;"Production occupations";202.6;213.5;5.4;33800;"No formal educational credential";1;4;Medium;"Blue-collar";"Growing";"TRUE"
"Pressers, textile, garment, and related materials";51-6021;51;"Production occupations";28.4;24.6;-13.5;33880;"No formal educational credential";1;4;Medium;"Blue-collar";"Declining";FALSE
"Sewing machine operators";51-6031;51;"Production occupations";124;110.7;-10.8;36000;"No formal educational credential";1;4;Medium;"Blue-collar";"Declining";FALSE
"Shoe and leather workers and repairers";51-6041;51;"Production occupations";9.5;9.1;-3.8;35950;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Shoe machine operators and tenders";51-6042;51;"Production occupations";4.1;3.9;-3.7;38160;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Sewers, hand";51-6051;51;"Production occupations";5.4;5;-7;33760;"No formal educational credential";1;4;Medium;"Blue-collar";"Declining";FALSE
"Tailors, dressmakers, and custom sewers";51-6052;51;"Production occupations";38.8;37.1;-4.5;40860;"No formal educational credential";1;4;Medium;"Blue-collar";Stable;FALSE
"Textile bleaching and dyeing machine operators and tenders";51-6061;51;"Production occupations";6.2;5.5;-10.1;37320;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Textile cutting machine setters, operators, and tenders";51-6062;51;"Production occupations";9.3;8.2;-11.7;37940;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Textile knitting and weaving machine setters, operators, and tenders";51-6063;51;"Production occupations";15.3;13.6;-11.2;38260;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Textile winding, twisting, and drawing out machine setters, operators, and tenders";51-6064;51;"Production occupations";21.7;19.8;-9;37660;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers";51-6091;51;"Production occupations";15.2;15;-1.1;44980;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Fabric and apparel patternmakers";51-6092;51;"Production occupations";2.8;2.5;-10.2;67670;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Upholsterers";51-6093;51;"Production occupations";22.7;22.3;-1.8;46190;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Textile, apparel, and furnishings workers, all other";51-6099;51;"Production occupations";14.7;13.3;-9.4;37010;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Cabinetmakers and bench carpenters";51-7011;51;"Production occupations";86;84.7;-1.6;46020;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Furniture finishers";51-7021;51;"Production occupations";20.5;19.8;-3.3;42530;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Model makers, wood";51-7031;51;"Production occupations";0.9;0.9;-4.5;51850;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Patternmakers, wood";51-7032;51;"Production occupations";0.5;0.4;-5;52520;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Sawing machine setters, operators, and tenders, wood";51-7041;51;"Production occupations";45;44.7;-0.6;39950;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Woodworking machine setters, operators, and tenders, except sawing";51-7042;51;"Production occupations";63.1;61.9;-1.8;40440;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Woodworkers, all other";51-7099;51;"Production occupations";17.6;16.8;-4.4;41220;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Nuclear power reactor operators";51-8011;51;"Production occupations";5.7;4.9;-15.3;122610;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Power distributors and dispatchers";51-8012;51;"Production occupations";9.3;9;-3.2;107240;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Power plant operators";51-8013;51;"Production occupations";31.6;28;-11.2;99670;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Stationary engineers and boiler operators";51-8021;51;"Production occupations";33.3;34;2.2;75190;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Water and wastewater treatment plant and system operators";51-8031;51;"Production occupations";132.4;123.8;-6.5;58260;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Chemical plant and system operators";51-8091;51;"Production occupations";18.1;17;-6.1;73540;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Gas plant operators";51-8092;51;"Production occupations";16.2;14.8;-8.8;83400;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Petroleum pump system operators, refinery operators, and gaugers";51-8093;51;"Production occupations";34.9;34;-2.8;97540;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Plant and system operators, all other";51-8099;51;"Production occupations";16.3;16.6;1.6;61710;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Chemical equipment operators and tenders";51-9011;51;"Production occupations";128.9;133.1;3.3;57090;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders";51-9012;51;"Production occupations";54.4;52;-4.3;49500;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Crushing, grinding, and polishing machine setters, operators, and tenders";51-9021;51;"Production occupations";28.7;27.9;-2.5;46890;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Grinding and polishing workers, hand";51-9022;51;"Production occupations";11.8;9.3;-21.2;41690;"No formal educational credential";1;4;Medium;"Blue-collar";"Declining";FALSE
"Mixing and blending machine setters, operators, and tenders";51-9023;51;"Production occupations";101.1;94.3;-6.8;47680;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Cutters and trimmers, hand";51-9031;51;"Production occupations";7;5.7;-18.1;38800;"No formal educational credential";1;4;Medium;"Blue-collar";"Declining";FALSE
"Cutting and slicing machine setters, operators, and tenders";51-9032;51;"Production occupations";49;47.9;-2.3;45700;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders";51-9041;51;"Production occupations";57.3;58.4;2;45130;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Furnace, kiln, oven, drier, and kettle operators and tenders";51-9051;51;"Production occupations";16.5;17;3;47010;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Inspectors, testers, sorters, samplers, and weighers";51-9061;51;"Production occupations";598;598.1;0;47460;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Jewelers and precious stone and metal workers";51-9071;51;"Production occupations";35.1;33.2;-5.5;49140;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Dental laboratory technicians";51-9081;51;"Production occupations";35.2;33.6;-4.7;48310;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Medical appliance technicians";51-9082;51;"Production occupations";12;12.4;3.7;47060;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Ophthalmic laboratory technicians";51-9083;51;"Production occupations";19.6;20;2.3;38420;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Packaging and filling machine operators and tenders";51-9111;51;"Production occupations";381.2;398.2;4.5;40900;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Painting, coating, and decorating workers";51-9123;51;"Production occupations";8.8;8.9;1.4;40860;"No formal educational credential";1;4;Medium;"Blue-collar";Stable;"TRUE"
"Coating, painting, and spraying machine setters, operators, and tenders";51-9124;51;"Production occupations";165.5;166.7;0.7;47590;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Semiconductor processing technicians";51-9141;51;"Production occupations";31.9;35.4;10.9;51180;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Growing";"TRUE"
"Photographic process workers and processing machine operators";51-9151;51;"Production occupations";11.2;10.9;-2.6;40100;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Computer numerically controlled tool operators";51-9161;51;"Production occupations";177.1;158.1;-10.7;49970;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Computer numerically controlled tool programmers";51-9162;51;"Production occupations";28.3;31.9;12.8;65670;"Postsecondary nondegree award";4;4;Medium;"Blue-collar";"Growing";"TRUE"
"Adhesive bonding machine operators and tenders";51-9191;51;"Production occupations";12.2;12.3;1;45210;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Cleaning, washing, and metal pickling equipment operators and tenders";51-9192;51;"Production occupations";14.6;15.2;3.6;41460;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Cooling and freezing equipment operators and tenders";51-9193;51;"Production occupations";7.1;7.6;7.2;40160;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Growing";"TRUE"
"Etchers and engravers";51-9194;51;"Production occupations";8.6;8.6;-0.7;40450;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;FALSE
"Molders, shapers, and casters, except metal and plastic";51-9195;51;"Production occupations";41.7;44.3;6.2;45690;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Growing";"TRUE"
"Paper goods machine setters, operators, and tenders";51-9196;51;"Production occupations";97.5;91.4;-6.3;49390;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Tire builders";51-9197;51;"Production occupations";20.9;21.4;2.3;55580;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Helpers--production workers";51-9198;51;"Production occupations";168.5;153.5;-8.9;38220;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Production workers, all other";51-9199;51;"Production occupations";292.8;294.3;0.5;38820;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Aircraft cargo handling supervisors";53-1041;53;"Transportation and material moving occupations";10.3;10.8;5.2;63940;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors";53-1047;53;"Transportation and material moving occupations";609.6;632.2;3.7;61890;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Airline pilots, copilots, and flight engineers";53-2011;53;"Transportation and material moving occupations";100;103.9;3.9;226600;"Bachelor's degree";6;3;Low;"Blue-collar";Stable;"TRUE"
"Commercial pilots";53-2012;53;"Transportation and material moving occupations";55.4;58.3;5.1;122670;"Postsecondary nondegree award";4;3;Low;"Blue-collar";"Growing";"TRUE"
"Air traffic controllers";53-2021;53;"Transportation and material moving occupations";24.1;24.4;1.2;144580;"Associate's degree";5;3;Low;"Blue-collar";Stable;"TRUE"
"Airfield operations specialists";53-2022;53;"Transportation and material moving occupations";16.9;17.6;4.2;56750;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Flight attendants";53-2031;53;"Transportation and material moving occupations";130.8;142.9;9.2;67130;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Ambulance drivers and attendants, except emergency medical technicians";53-3011;53;"Transportation and material moving occupations";12.3;12.1;-1.3;34330;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Driver/sales workers";53-3031;53;"Transportation and material moving occupations";451.5;491.3;8.8;37130;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Heavy and tractor-trailer truck drivers";53-3032;53;"Transportation and material moving occupations";2235.1;2324.4;4;57440;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Light truck drivers";53-3033;53;"Transportation and material moving occupations";1079.8;1158.6;7.3;44140;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Bus drivers, school";53-3051;53;"Transportation and material moving occupations";387.3;388.2;0.2;47040;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Bus drivers, transit and intercity";53-3052;53;"Transportation and material moving occupations";158.8;165.6;4.3;57440;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Shuttle drivers and chauffeurs";53-3053;53;"Transportation and material moving occupations";243.9;260.3;6.7;36670;"No formal educational credential";1;3;Low;"Blue-collar";"Growing";"TRUE"
"Taxi drivers";53-3054;53;"Transportation and material moving occupations";204;226.6;11.1;36220;"No formal educational credential";1;3;Low;"Blue-collar";"Growing";"TRUE"
"Motor vehicle operators, all other";53-3099;53;"Transportation and material moving occupations";79.3;84;6;36260;"No formal educational credential";1;3;Low;"Blue-collar";"Growing";"TRUE"
"Locomotive engineers";53-4011;53;"Transportation and material moving occupations";27;27.2;0.7;77400;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Rail yard engineers, dinkey operators, and hostlers";53-4013;53;"Transportation and material moving occupations";3.1;3.1;0.3;58030;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Railroad brake, signal, and switch operators and locomotive firers";53-4022;53;"Transportation and material moving occupations";11;11.1;1;65480;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Railroad conductors and yardmasters";53-4031;53;"Transportation and material moving occupations";36.8;37.2;1.1;74080;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Subway and streetcar operators";53-4041;53;"Transportation and material moving occupations";9.6;9.9;3.4;84830;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Rail transportation workers, all other";53-4099;53;"Transportation and material moving occupations";1.6;1.6;3.9;49330;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Sailors and marine oilers";53-5011;53;"Transportation and material moving occupations";32.1;32.8;2.3;49610;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Captains, mates, and pilots of water vessels";53-5021;53;"Transportation and material moving occupations";40.7;40.9;0.5;85540;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Motorboat operators";53-5022;53;"Transportation and material moving occupations";2.7;2.8;1.4;51880;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Ship engineers";53-5031;53;"Transportation and material moving occupations";8.8;9;1.6;101320;"Postsecondary nondegree award";4;3;Low;"Blue-collar";Stable;"TRUE"
"Bridge and lock tenders";53-6011;53;"Transportation and material moving occupations";2.9;2.8;-3.3;58490;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Parking attendants";53-6021;53;"Transportation and material moving occupations";135.7;139.8;3;34600;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Automotive and watercraft service attendants";53-6031;53;"Transportation and material moving occupations";100;99;-1;34850;"No formal educational credential";1;3;Low;"Blue-collar";Stable;FALSE
"Aircraft service attendants";53-6032;53;"Transportation and material moving occupations";28;29.5;5.1;41540;"High school diploma or equivalent";2;3;Low;"Blue-collar";"Growing";"TRUE"
"Traffic technicians";53-6041;53;"Transportation and material moving occupations";7.9;8.2;3.7;58480;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Transportation inspectors";53-6051;53;"Transportation and material moving occupations";25.7;26.1;1.7;85750;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Passenger attendants";53-6061;53;"Transportation and material moving occupations";25.6;26.8;4.7;37560;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Transportation workers, all other";53-6099;53;"Transportation and material moving occupations";11.5;11.9;3.8;39630;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Conveyor operators and tenders";53-7011;53;"Transportation and material moving occupations";29.1;28.1;-3.4;41230;"No formal educational credential";1;3;Low;"Blue-collar";Stable;FALSE
"Crane and tower operators";53-7021;53;"Transportation and material moving occupations";42.3;43.5;3;66370;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Dredge operators";53-7031;53;"Transportation and material moving occupations";1.1;1.2;1.2;48430;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Hoist and winch operators";53-7041;53;"Transportation and material moving occupations";2.7;2.7;-1.1;52310;"No formal educational credential";1;3;Low;"Blue-collar";Stable;FALSE
"Industrial truck and tractor operators";53-7051;53;"Transportation and material moving occupations";792.5;801.6;1.1;46390;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Cleaners of vehicles and equipment";53-7061;53;"Transportation and material moving occupations";410.1;426.2;3.9;35270;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Laborers and freight, stock, and material movers, hand";53-7062;53;"Transportation and material moving occupations";2988.9;3033.1;1.5;38940;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Machine feeders and offbearers";53-7063;53;"Transportation and material moving occupations";46.5;40.4;-13;39700;"No formal educational credential";1;3;Low;"Blue-collar";"Declining";FALSE
"Packers and packagers, hand";53-7064;53;"Transportation and material moving occupations";591.8;559.7;-5.4;35580;"No formal educational credential";1;3;Low;"Blue-collar";"Declining";FALSE
"Stockers and order fillers";53-7065;53;"Transportation and material moving occupations";2764.8;2999.8;8.5;37090;"No formal educational credential";1;3;Low;"Blue-collar";"Growing";"TRUE"
"Gas compressor and gas pumping station operators";53-7071;53;"Transportation and material moving occupations";5.4;5.3;-1.3;71510;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Pump operators, except wellhead pumpers";53-7072;53;"Transportation and material moving occupations";13.1;13.5;2.6;60020;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;"TRUE"
"Wellhead pumpers";53-7073;53;"Transportation and material moving occupations";18.8;17.9;-4.7;70010;"High school diploma or equivalent";2;3;Low;"Blue-collar";Stable;FALSE
"Refuse and recyclable material collectors";53-7081;53;"Transportation and material moving occupations";147.9;149.2;0.9;48350;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Tank car, truck, and ship loaders";53-7121;53;"Transportation and material moving occupations";12;12.5;4.3;58070;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
"Material moving workers, all other";53-7199;53;"Transportation and material moving occupations";27.7;28.9;4.3;41690;"No formal educational credential";1;3;Low;"Blue-collar";Stable;"TRUE"
